Input
0,0,2,1
1,0,2,1
2,1,0,2
3,0,1,2
4,1,0,2
5,0,1,2
6,2,1,0
7,1,2,0
8,2,0,1
9,2,1,0
10,0,2,1
11,0,2,1
12,0,2,1
13,0,1,2
14,1,0,2
15,1,2,0
16,1,0,2
17,1,0,2
18,1,0,2
19,2,0,1
20,2,1,0
21,0,2,1
22,1,0,2
23,2,1,0
24,1,0,2
25,1,0,2
26,2,0,1
27,1,0,2
28,2,0,1
29,2,1,0
30,0,1,2
31,2,0,1
32,2,1,0
33,2,1,0
34,2,1,0
35,0,1,2
36,1,2,0
37,0,1,2
38,1,0,2
39,2,0,1
40,2,1,0
41,0,2,1
42,2,0,1
43,0,1,2
44,1,2,0
45,2,0,1
46,2,0,1
47,1,2,0
48,0,1,2
49,0,2,1
50,1,2,0
51,1,2,0
52,2,1,0
53,2,0,1
54,0,2,1
55,0,2,1
56,1,2,0
57,0,1,2
58,1,0,2
59,0,2,1
60,1,2,0
61,0,2,1
62,0,1,2
63,2,0,1
64,1,2,0
65,2,1,0
66,0,1,2
67,0,2,1
68,0,1,2
69,2,1,0
70,2,0,1
71,2,1,0
72,2,1,0
73,2,1,0
74,0,1,2
75,0,2,1
76,2,1,0
77,0,2,1
78,1,0,2
79,0,1,2
80,0,2,1
81,0,2,1
82,2,1,0
83,2,0,1
84,0,2,1
85,0,2,1
86,0,2,1
87,0,2,1
88,1,2,0
89,1,0,2
90,2,1,0
91,2,1,0
92,1,2,0
93,0,1,2
94,0,1,2
95,1,0,2
96,2,1,0
97,1,0,2
98,2,0,1
99,0,2,1
100,1,2,0
101,1,2,0
102,0,2,1
103,0,1,2
104,0,1,2
105,2,0,1
106,1,0,2
107,1,2,0
108,1,2,0
109,1,2,0
110,2,1,0
111,2,1,0
112,2,0,1
113,1,2,0
114,0,2,1
115,2,1,0
116,1,2,0
117,1,2,0
118,0,2,1
119,1,2,0
120,0,2,1
121,2,0,1
122,2,1,0
123,2,1,0
124,0,2,1
125,0,1,2
126,1,2,0
127,1,0,2
